Record,Weight,Date,WID,Wrestler1,Team1,Wrestler2,Team2,VS,Result,difVP,NAPM,NPF,Ride,Escaoe,Reversal,TD,LA,HI,HO,D,LS,COUNTER,THROW,APM,oTD,oLA,oHI,oHO,oD,oLS,Ocounter,oTHROW,oAPM,Laa,Lac,Tda,TDc,OPM,DPM,Ptotal,oLAa,oLAc,oTDa,oTDc,oPtotal,oOPM,oDPM,wResult,oppStrength,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
438,174,01/05/18,Skatzka Indiana 174,Skatzka,Indiana,Amine,Michigan,53.3449664,0,-4.475490455,-0.357142857,1,0,0.5,0,0.333333333,0.333333333,0,0,0,0.5,0,0,1,0.333333333,0.333333333,0,0,0,0.5,0,0,1.357142857,3,1,3,1,0.785714286,0.214285714,0,3,1,3,1,0,0.928571429,0.428571429,5.691639497,6.324043886,420,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0
1214,165,01/01/18,Jarrell Drexel 165,Jarrell,Drexel,Joseph,Penn State,53.28844605,0,-50.22339443,-1.285714286,0.69,0.333333333,0.333333333,0,0.25,0.2,0.333333333,0,0,0,0.333333333,0,0.928571429,0.363636364,0.571428571,1,0.5,0.333333333,0,0,0,2.214285714,5,1,8,2,1,0.928571429,1,7,4,11,4,1,2.642857143,0.571428571,7.012518074,7.791686749,420,3,1,2,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,2,1,3,1,0,0,2,0,2,0,0,2,0,2,1,0,0,0,1,0,0
1187,285,01/01/18,Nevills Penn State 285,Nevills,Penn State,Voss,Gardner Webb,53.21428571,1,null,2.714285714,1.5,0.5,0,0,0.428571429,0.6,0.666666667,0,0,0.5,0,0,3.928571429,0,0,0,0,0,0,0,0,1.214285714,5,3,7,3,2.642857143,0.285714286,0,5,0,6,0,0,0.714285714,0.5,125,1,420,3,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,1,0,2,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
1241,197,01/01/18,Rasheed Penn State 197,Rasheed,Penn State,Williams,Cal State Bakersfield,53.17708832,1,123.8665819,10.97560976,1,1,0,0,1,0,0,0,0,0,1,0,10.97560976,0,0,0,0,0,0,0,0,0,0,0,1,1,6.585365854,4.390243902,0,0,0,0,0,0,0,0,-5.657900925,-3.233086243,41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,174,03/03/18,Lombardo Binghampton 174,Lombardo,Binghampton,Stephani,Bucknell,52.97619048,1,null,2.428571429,1.67,0.6,1,1,0.333333333,0.375,0.4,0,0.333333333,0,0,0,4.142857143,0,0,0,0,0,0,0,0,1.714285714,8,3,9,3,2.642857143,0.5,0,4,0,9,0,0,0.642857143,1.071428571,125,1,420,5,2,0,0,3,1,0,0,1,0,0,0,1,0,1,0,4,1,1,0,0,0,1,3,0,0,0,1,0,0,0,5,0,0,0,1,2,0,0,0,1,0,0,0,0,0
443,285,01/05/18,Coon Michigan 285,Coon,Michigan,Miller,Indiana,52.91490875,1,140.1725685,3,1.61,0.333333333,150,0,0.5,0.25,0,0,0.5,0,0,1,4.357142857,1,1,0,0,1,0,0,0,1.357142857,4,1,6,3,3.714285714,0.642857143,0,1,1,1,1,0,0.928571429,0.428571429,0.470062304,0.376049843,420,2,0,0,0,2,1,0,0,0,0,2,2,3,3,0,1,7,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,3,0,1,0,0,0,0
809,157,01/26/18,Jordan Ohio State 157,Jordan,Ohio State,Tucker,Michigan State,52.83899479,1,114.6225761,4.5,1.83,1,0,0,0.375,0.2,0,0.5,0,0,0.666666667,0,5.590909091,0,0,0,0,0,0,0,0,1.090909091,5,1,8,3,3.681818182,1.909090909,0,1,0,4,0,0,0.272727273,0.818181818,-2.966100521,-1.694914584,220,2,0,2,1,1,0,0,0,3,2,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,125,02/11/18,Rivera Northwestern 125,Rivera,Northwestern,Oliver,Indiana,52.74463358,1,67.06548933,3.944223108,1.67,0.714285714,4,0,0.5,0.25,0,0,0,0.5,1,0,4.900398406,0,0,0,0,0,0,0,0,0.956175299,4,1,6,3,2.868525896,2.03187251,0,2,0,3,0,0,0.478087649,0.478087649,-1.299241821,-0.742423898,251,2,0,0,0,0,0,2,1,2,2,0,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,141,02/10/18,Opsal Air Force 141,Opsal,Air Force,Findlay,Utah Valley,52.73857108,1,-20.53294927,0.510204082,0.71,0.333333333,0.857142857,0,0.25,0,0,0,0,0,1,0,3.06122449,0.333333333,0.4,1,0.5,0,0,0,0,2.551020408,3,0,4,1,1.428571429,1.632653061,0,5,2,6,2,0,1.93877551,0.612244898,4.912462551,2.807121457,294,0,0,0,0,1,0,2,0,1,1,0,0,4,3,0,0,0,0,0,1,0,0,0,1,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1671,125,03/03/18,Welch Purdue 125,Welch,Purdue,Jiminez,Wisconsin,52.61160714,1,9.823554422,2.5,1.5,0.75,2,1,0.6,1,0,1,0,0,0.333333333,0,3.428571429,0,0,0,0,0,0,0,0,0.928571429,2,2,5,3,1.214285714,1.214285714,0,2,0,5,0,0,0.285714286,0.642857143,15011160714,1.208928571,420,0,0,2,2,0,0,0,0,3,1,0,0,1,1,1,1,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
