Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
1647,125,3/3/2018,Mattin,Michigan,Piotrowski,Illinois,0.9,420,1,0,2,0,0,0,0,0,2,0,0,0,11,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,2,1,0,0,1,11,0,1,1,0,0
1648,125,3/3/2018,Piotrowski,Illinois,Mattin,Michigan,1.1,420,1,0,0,0,0,0,0,0,3,0,1,1,2,1,0,0,1,11,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,11,1,0,0,0,2,0,0,0,0,0
1649,125,3/3/2018,Lizak,Minnesota,Jiminez,Wisconsin,1.1,420,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1
1650,125,3/3/2018,Jiminez,Wisconsin,Lizak,Minnesota,0.9,420,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1651,125,3/3/2018,Kuhn,Penn State,Tomasello,Ohio State,0.5,351,1,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,5,2,2,2,0,0,0,0,3,3,0,0,0,2,0,4,5,1,0,1,0,0,0
1652,125,3/3/2018,Tomasello,Ohio State,Kuhn,Penn State,1.5,351,5,2,2,2,0,0,0,0,3,3,0,0,0,2,0,4,5,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
1653,125,3/3/2018,Welch,Purdue,Maginnis,Nebraska,1.1,420,1,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0
1654,125,3/3/2018,Maginnis,Nebraska,Welch,Purdue,0.9,420,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1
1655,125,3/3/2018,Foley,Michigan State,Oliver,Indiana,1.25,420,4,0,2,1,1,0,4,1,3,1,0,0,0,1,0,0,2,0,1,1,0,0,1,2,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1
1656,125,3/3/2018,Oliver,Indiana,Foley,Michigan State,0.75,420,2,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1,4,0,2,1,1,0,4,1,3,1,0,0,0,1,0,0,2,0,1,1,0,0,1
1657,125,3/3/2018,Piotrowski,Illinois,Suriano,Rutgers,0.9,420,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,1
1658,125,3/3/2018,Suriano,Rutgers,Piotrowski,Illinois,1.1,420,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
1659,125,3/3/2018,Rivera,Northwestern,Lizak,Minnesota,0.9,420,2,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,1,0,0,1,0,1
1660,125,3/3/2018,Lizak,Minnesota,Rivera,Northwestern,1.1,420,3,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,1,0,0,1,0,1,2,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1661,125,3/3/2018,Welch,Purdue,Tomasello,Ohio State,0.75,420,5,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,5,0,0,0,0,1,0,0,5,0,0,1,0,0,1
1662,125,3/3/2018,Tomasello,Ohio State,Welch,Purdue,1.25,420,3,3,2,1,0,0,0,0,5,0,0,0,0,1,0,0,5,0,0,1,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0
1663,125,3/3/2018,Foley,Michigan State,Lee,Iowa,0.5,162,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,2,0,0,0
1664,125,3/3/2018,Lee,Iowa,Foley,Michigan State,1.75,162,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
1665,125,3/3/2018,Jiminez,Wisconsin,Cray,Maryland,1.1,420,2,0,4,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0
1666,125,3/3/2018,Cray,Maryland,Jiminez,Wisconsin,0.9,420,0,0,0,0,1,0,0,0,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,4,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1
1667,125,3/3/2018,Kuhn,Penn State,Maginnis,Nebraska,1.25,420,0,0,1,1,0,0,0,0,2,1,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1668,125,3/3/2018,Maginnis,Nebraska,Kuhn,Penn State,0.75,420,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,1,0,2,0,2,0,0,0,1
1669,125,3/3/2018,Foley,Michigan State,Mattin,Michigan,1.1,420,3,0,3,1,0,0,0,0,4,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2,0,3,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,1,0,0
1670,125,3/3/2018,Mattin,Michigan,Foley,Michigan State,0.9,420,2,0,3,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,1,0,0,3,0,3,1,0,0,0,0,4,0,1,0,0,1,0,0,1,2,0,0,0,0,0
1671,125,3/3/2018,Welch,Purdue,Jiminez,Wisconsin,1.25,420,0,0,2,2,0,0,0,0,3,1,0,0,1,1,1,1,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1672,125,3/3/2018,Jiminez,Wisconsin,Welch,Purdue,0.75,420,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,0,1,1,1,1,3,1,0,0,0,0,1
1673,125,3/3/2018,Rivera,Northwestern,Kuhn,Penn State,1.25,420,1,1,0,0,0,0,2,2,3,1,1,1,0,0,0,0,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0
1674,125,3/3/2018,Kuhn,Penn State,Rivera,Northwestern,0.75,420,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,3,1,1,1,0,0,0,0,5,1,1,0,0,0,1
1675,125,3/3/2018,Piotrowski,Illinois,Oliver,Indiana,0.9,420,0,0,1,0,0,0,0,0,2,0,1,0,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,2,1,0,0,0,0,0,0,3,6,0,0,1,1,1
1676,125,3/3/2018,Oliver,Indiana,Piotrowski,Illinois,1.1,420,3,0,0,0,4,2,0,0,2,1,0,0,0,0,0,0,3,6,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,1,0,6,2,0,0,0,0,0,0,0,0,0
1677,125,3/3/2018,Foley,Michigan State,Welch,Purdue,0.9,420,0,0,4,1,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1678,125,3/3/2018,Welch,Purdue,Foley,Michigan State,1.1,420,0,0,3,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0
1679,125,3/3/2018,Rivera,Northwestern,Oliver,Indiana,1.75,294,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1680,125,3/3/2018,Oliver,Indiana,Rivera,Northwestern,0.5,294,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5,4,0,1,0,0,1
1681,125,3/3/2018,Lee,Iowa,Rivera,Northwestern,1.25,420,0,0,3,2,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1682,125,3/3/2018,Rivera,Northwestern,Lee,Iowa,0.75,420,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,1,0,0,1
1683,125,3/3/2018,Lee,Iowa,Tomasello,Ohio State,0.9,420,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1684,125,3/3/2018,Tomasello,Ohio State,Lee,Iowa,1.1,420,2,0,5,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1685,125,3/3/2018,Welch,Purdue,Lee,Iowa,0.5,420,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0
1686,125,3/3/2018,Lee,Iowa,Welch,Purdue,1.5,420,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,125,3/3/2018,Tomasello,Ohio State,Lizak,Minnesota,1.1,420,0,0,2,0,2,1,0,0,4,3,0,0,3,1,0,2,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,0,1,0,0,0,5,1,1,0,2,0,1
1688,125,3/3/2018,Lizak,Minnesota,Tomasello,Ohio State,0.9,420,0,0,0,0,3,1,0,0,3,0,0,0,1,0,0,0,5,1,1,0,2,0,1,0,0,2,0,2,1,0,0,4,3,0,0,3,1,0,2,3,0,0,0,1,0,0
1689,133,3/3/2018,Micic,Michigan,Simmons,Maryland,1.5,223,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,4,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1690,133,3/3/2018,Simmons,Maryland,Micic,Michigan,0.5,223,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,4,0,0,3,0,0,0
1691,133,3/3/2018,Delvecchio,Rutgers,Lantz,Wisconsin,1.1,420,4,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0,1,0,1,3,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0
1692,133,3/3/2018,Lantz,Wisconsin,Delvecchio,Rutgers,0.9,420,3,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0,1,0,1
1693,133,3/3/2018,Griffin,Michigan State,Renteria,Nebraska,0.5,235,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,4,3,0,0,0,1,0,1,3,0,0,1,0,0,0
1694,133,3/3/2018,Renteria,Nebraska,Griffin,Michigan State,1.75,235,2,1,1,0,0,0,1,0,4,3,0,0,0,1,0,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1695,133,3/3/2018,Valdiviez,Northwestern,McKee,Minnesota,0.5,114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0
1696,133,3/3/2018,McKee,Minnesota,Valdiviez,Northwestern,1.75,114,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1697,133,3/3/2018,Pletcher,Ohio State,Pepple,Iowa,1.1,420,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,5,1,0,0,1,1,0
1698,133,3/3/2018,Pepple,Iowa,Pletcher,Ohio State,0.9,420,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,5,1,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1699,133,3/3/2018,Thornton,Purdue,Micic,Michigan,0.75,420,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,2,0,0,0,1,0,2,2,0,0,0,0,0,1
1700,133,3/3/2018,Micic,Michigan,Thornton,Purdue,1.25,420,1,1,1,1,0,0,0,0,3,2,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1701,133,3/3/2018,Renteria,nebraska,Delvecchio,Rutgers,1.1,420,3,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1702,133,3/3/2018,Delvecchio,Rutgers,Renteria,nebraska,0.9,420,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1703,133,3/3/2018,Keener,Penn State,McKee,Minnesota,0.9,420,2,0,1,0,2,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0
1704,133,3/3/2018,McKee,Minnesota,Keener,Penn State,1.1,420,2,0,0,0,1,0,2,0,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0
1705,133,3/3/2018,Duncan,Illinois,Pletcher,Ohio State,0.9,420,0,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0
1706,133,3/3/2018,Pletcher,Ohio State,Duncan,Illinois,1.1,420,0,0,2,1,0,0,2,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
1707,133,3/3/2018,Micic,Michigan,Renteria,Nebraska,1.5,420,3,2,1,1,1,1,0,0,1,1,0,0,0,1,0,1,5,1,0,2,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0
1708,133,3/3/2018,Renteria,Nebraska,Micic,Michigan,0.5,420,0,0,2,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,0,0,1,1,0,0,0,1,0,1,5,1,0,2,0,0,1
1709,133,3/3/2018,Griffin,Michigan State,Lantz,Wisconsin,0.9,420,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,3,1,0,0,0,0,1
1710,133,3/3/2018,Lantz,Wisconsin,Griffin,Michigan State,1.1,420,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1711,133,3/3/2018,Glynn,Iowa,Pepple,Indiana,0.9,420,2,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1712,133,3/3/2018,Pepple,Indiana,Glynn,Iowa,1.1,420,2,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1713,133,3/3/2018,Duncan,Illinois,Simmons,Maryland,1.75,378,3,2,2,0,0,0,0,0,5,2,0,0,0,1,0,0,4,0,1,1,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1714,133,3/3/2018,Simmons,Maryland,Duncan,Illinois,0.5,378,2,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,5,2,0,0,0,1,0,0,4,0,1,1,0,0,0
1715,133,3/3/2018,Keener,Penn State,Lantz,Wisconsin,1.75,222,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1716,133,3/3/2018,Lantz,Wisconsin,Keener,Penn State,0.5,222,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1717,133,3/3/2018,Valdiviez,Northwestern,Delvecchio,Rutgers,0.75,420,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,0,1,0,0,4,3,1,0,1,1,0,0,1,1,0,0,5,1,0,0,6,1,0,0,1,0,1
1718,133,3/3/2018,Delvecchio,Rutgers,Valdiviez,Northwestern,1.25,420,4,3,1,0,1,1,0,0,1,1,0,0,5,1,0,0,6,1,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,0,1,0,0
1719,133,3/3/2018,Thornton,Purdue,Pepple,Indiana,1.1,420,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1720,133,3/3/2018,Pepple,Indiana,Thornton,Purdue,0.9,420,1,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1
1721,133,3/3/2018,Keener,Penn State,Duncan,Illinois,0.75,420,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,1,0,0,1
1722,133,3/3/2018,Duncan,Illinois,Keener,Penn State,1.25,420,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1723,133,3/3/2018,Thornton,Purdue,Delvecchio,Rutgers,0.9,420,4,1,1,0,0,0,1,0,1,0,0,0,2,4,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,0,0,3,1,1,0,3,1,0,0,0,0,0
1724,133,3/3/2018,Delvecchio,Rutgers,Thornton,Purdue,1.1,420,1,1,1,1,0,0,0,0,4,1,0,0,3,1,1,0,3,1,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,0,0,2,4,0,0,0,2,0,0,0,0,0
1725,133,3/3/2018,Duncan,Illinois,Renteria,nebraska,1.1,420,0,0,4,1,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1,5,0,0,0,0,1,0,0,3,0,0,0,2,0,0
1726,133,3/3/2018,Renteria,nebraska,Duncan,Illinois,0.9,420,2,2,0,0,0,0,1,1,5,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,4,1,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1727,133,3/3/2018,McKee,Minnesota,Delvecchio,Rutgers,1.1,420,0,0,3,2,0,0,0,0,2,1,0,0,4,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,3,0,0,0,0,0
1728,133,3/3/2018,Delvecchio,Rutgers,McKee,Minnesota,0.9,420,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,3,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,0,0,4,0,0,0,2,0,1,0,0,1,0
1729,133,3/3/2018,Keener,Penn State,Thornton,Purdue,1.25,420,2,1,0,0,0,0,2,1,3,3,0,0,0,0,0,1,7,2,0,0,1,0,1,1,0,2,0,2,0,3,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0
1730,133,3/3/2018,Thornton,Purdue,Keener,Penn State,0.75,420,1,0,2,0,2,0,3,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3,3,0,0,0,0,0,1,7,2,0,0,1,0,1
1731,133,3/3/2018,McKee,Minnesota,Duncan,Illinois,1.1,420,0,0,2,0,0,0,0,0,3,0,1,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1732,133,3/3/2018,Duncan,Illinois,McKee,Minnesota,0.9,420,1,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,1,0,2,0,0,1,0,0,1,0,0,0
1733,133,3/3/2018,Micic,Michigan,Pletcher,Ohio State,1.1,420,3,1,1,1,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,2,0,1,3,0,1,0,2,0,0,0,4,0,0,0,4,1,1,1,0,0,0,0,1,0,0
1734,133,3/3/2018,Pletcher,Ohio State,Micic,Michigan,0.9,420,3,0,1,0,2,0,0,0,4,0,0,0,4,1,1,1,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,2,0,1
1735,141,3/3/2018,Gasca,Michigan State,McKenna,Ohio State,0.5,130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
1736,141,3/3/2018,McKenna,Ohio State,Gasca,Michigan State,1.75,130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,141,3/3/2018,Turk,Iowa,Stickley,Wisconsin,1.1,420,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0
1738,141,3/3/2018,Stickley,Wisconsin,Turk,Iowa,0.9,420,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,0,0
1739,141,3/3/2018,Red,Nebraska,Diehl,Maryland,1.1,420,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1740,141,3/3/2018,Diehl,Maryland,Red,Nebraska,0.9,420,0,0,2,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,4,0,0,0,0,0,1
1741,141,3/3/2018,Profaci,Michigan,Weaver,Indiana,0.9,420,0,0,2,0,2,0,0,0,2,0,0,0,7,3,0,0,0,11,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,0,0,10,0,1,0,4,4,0,0,0,0,1
1742,141,3/3/2018,Weaver,Indiana,Profaci,Michigan,1.1,420,1,1,1,0,2,1,0,0,1,0,0,0,10,0,1,0,4,4,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,7,3,0,0,0,11,0,0,0,0,0
1743,141,3/3/2018,Lee,Penn State,Van Brill,Rutgers,1.25,420,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,0
1744,141,3/3/2018,Van Brill,Rutgers,Lee,Penn State,0.75,420,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1
1745,141,3/3/2018,Turk,Iowa,McKenna,Ohio State,0.9,420,1,0,0,0,1,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,1,0,1
1746,141,3/3/2018,McKenna,Ohio State,Turk,Iowa,1.1,420,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,1,0,1,1,0,0,0,1,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0
1747,141,3/3/2018,Limmex,Purdue,Red,nebraska,1.1,420,5,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6,1,0,0,0,2,0,0,0,1,0,0,1,0,0
1748,141,3/3/2018,Red,nebraska,Limmex,Purdue,0.9,420,1,0,0,0,0,0,1,0,6,1,0,0,0,2,0,0,0,1,0,0,1,0,0,5,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,1,0,0
1749,141,3/3/2018,Carr,Illinois,Thorn ,Minnesota,1.1,420,2,0,0,0,1,1,1,1,4,1,0,0,3,0,0,0,3,0,1,0,0,0,0,2,1,1,0,0,0,1,0,3,0,0,0,0,4,0,0,0,2,0,0,0,0,0
1750,141,3/3/2018,Thorn ,Minnesota,Carr,Illinois,0.9,420,2,1,1,0,0,0,1,0,3,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,1,4,1,0,0,3,0,0,0,3,0,1,0,0,0,0
1751,141,3/3/2018,Lee,Penn State,Weaver,Indiana,1.25,420,6,2,5,1,0,0,4,0,4,2,0,0,2,1,0,0,3,1,0,0,0,0,1,4,0,2,0,0,0,1,0,3,0,0,0,2,3,0,0,1,2,0,0,1,1,0
