Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
2477,174,3/3/2018,Urbach,North Dakota State,Lujan,Northern Iowa,0.5,420,2,0,0,0,1,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,1,4,3,0,0,2,1,1,1,1,1,0,1,1,4,5,0,0,1,0,0,0
2478,174,3/3/2018,Lujan,Northern Iowa,Urbach,North Dakota State,1.5,420,2,1,4,3,0,0,2,1,1,1,1,1,0,1,1,4,5,0,0,1,0,0,0,2,0,0,0,1,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,2,1,0
2479,174,3/3/2018,Bastian,Utah Valley,Smith,Oklahoma State,0.5,391,2,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,0,2,0,0,1,0,0,2,0,0,0
2480,174,3/3/2018,Smith,Oklahoma State,Bastian,Utah Valley,1.75,391,0,0,0,0,1,1,1,0,2,0,2,1,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,3,0,0,0,0,0,0
2481,174,3/3/2018,Kocer,South Dakota State,Pope,Wyoming,1.5,420,1,0,0,0,0,0,6,2,0,0,1,1,0,1,0,0,4,0,1,2,0,0,1,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2482,174,3/3/2018,Pope,Wyoming,Kocer,South Dakota State,0.5,420,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,2,0,0,1,1,0,1,0,0,4,0,1,2,0,0,1
2483,174,3/3/2018,Billingsly,Air Force,Mejias,Oklahoma,0.9,420,4,0,5,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,9,4,0,0,0,0,0,0,0,1,0,0,0,1,0
2484,174,3/3/2018,Mejias,Oklahoma,Billingsly,Air Force,1.1,420,2,0,0,0,0,0,2,1,9,4,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,5,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0
2485,174,3/3/2018,Lujan,Northern Iowa,Smith,Oklahoma State,1.1,420,1,0,1,0,0,0,0,0,5,1,1,1,0,2,0,0,1,0,1,0,0,0,0,2,1,1,0,2,0,0,0,1,1,1,1,0,1,0,2,1,0,0,0,0,0,0
2486,174,3/3/2018,Smith,Oklahoma State,Lujan,Northern Iowa,0.9,420,2,1,1,0,2,0,0,0,1,1,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,1,1,0,2,0,0,1,0,1,0,0,0,0
